id,drink_id,compornent_id,amount_number
1,1,1,0
2,1,2,0
3,2,1,0
4,2,3,0
5,3,1,0
6,3,4,0
7,3,5,0
8,3,6,0
9,3,7,0
10,4,1,0
11,4,8,0
12,5,9,0
13,5,8,0
14,6,1,0
15,6,10,0
16,6,5,0
17,7,1,0
18,7,11,0
19,8,12,0
20,8,1,0
21,9,1,0
22,9,13,0
23,9,14,0
24,10,1,0
25,10,15,0
26,10,16,0
27,11,4,0
28,11,1,0
29,11,11,0
30,12,1,0
31,12,11,0
32,12,17,0
33,13,1,0
34,13,18,0
35,14,1,0
36,14,11,0
37,14,19,0
38,15,1,0
39,15,5,0
40,15,20,0
41,16,1,0
42,16,5,0
43,16,6,0
44,16,7,0
45,17,1,0
46,17,21,0
47,17,7,0
48,18,1,0
49,18,22,0
50,18,23,0
51,18,24,0
52,18,2,0
53,19,1,0
54,19,11,0
55,19,25,0
56,19,26,0
57,19,2,0
58,20,1,0
59,20,27,0
60,20,3,0
61,21,1,0
62,21,27,0
63,21,4,0
64,21,5,0
65,21,28,0
66,21,7,0
67,21,29,0
68,22,9,0
69,22,8,0
70,23,9,0
71,23,11,0
72,24,1,0
73,24,5,0
74,24,6,0
75,24,7,0
76,25,1,0
77,25,30,0
78,25,2,0
79,26,1,0
80,26,11,0
81,26,31,0
82,27,1,0
83,27,32,0
84,27,33,0
85,28,1,0
86,28,5,0
87,28,6,0
88,28,34,0
89,29,1,0
90,29,35,0
91,29,5,0
92,30,1,0
93,30,11,0
94,30,25,0
95,30,2,0
96,31,1,0
97,31,36,0
98,31,37,0
99,32,1,0
100,32,25,0
101,32,14,0
102,32,32,0
103,32,33,0
104,33,38,0
105,33,1,0
106,33,36,0
107,34,1,0
108,34,38,0
109,34,39,0
110,34,40,0
111,34,10,0
112,34,5,0
113,34,41,0
114,35,23,0
115,35,42,0
116,35,30,0
117,35,5,0
118,35,43,0
119,36,1,0
120,36,44,0
121,36,45,0
122,36,46,0
123,36,16,0
124,37,38,0
125,37,46,0
126,37,47,0
127,38,38,0
128,38,16,0
129,38,20,0
130,39,38,0
131,39,8,0
132,40,38,0
133,40,11,0
134,41,38,0
135,41,21,0
136,41,7,0
137,42,48,0
138,42,31,0
139,42,46,0
140,42,24,0
141,42,32,0
142,43,38,0
143,43,21,0
144,43,6,0
145,44,38,0
146,44,10,0
147,44,16,0
148,45,38,0
149,45,49,0
150,45,11,0
151,45,5,0
152,46,38,0
153,46,10,0
154,46,50,0
155,46,16,0
156,47,51,0
157,47,38,0
158,48,38,0
159,48,46,0
160,48,50,0
161,49,38,0
162,49,2,0
163,50,38,0
164,50,14,0
165,50,52,0
166,51,38,0
167,51,27,0
168,51,53,0
169,52,38,0
170,52,10,0
171,52,5,0
172,53,38,0
173,53,10,0
174,53,5,0
175,54,38,0
176,54,54,0
177,55,38,0
178,55,55,0
179,56,38,0
180,56,56,0
181,56,57,0
182,56,5,0
183,57,38,0
184,57,56,0
185,58,38,0
186,58,58,0
187,58,5,0
188,59,38,0
189,59,57,0
190,60,38,0
191,60,55,0
192,60,37,0
193,61,59,0
194,61,38,0
195,61,11,0
196,62,38,0
197,62,59,0
198,62,2,0
199,63,27,0
200,63,38,0
201,64,60,0
202,64,10,0
203,64,3,0
204,65,38,0
205,65,61,0
206,65,62,0
207,66,38,0
208,66,1,0
209,66,36,0
210,67,63,0
211,67,38,0
212,68,38,0
213,68,56,0
214,68,64,0
215,69,1,0
216,69,38,0
217,69,39,0
218,69,40,0
219,69,10,0
220,69,5,0
221,69,41,0
222,70,65,0
223,70,10,0
224,70,16,0
225,71,65,0
226,71,31,0
227,71,5,0
228,71,20,0
229,72,66,0
230,72,31,0
231,72,7,0
232,73,66,0
233,73,7,0
234,74,67,0
235,74,50,0
236,74,32,0
237,74,7,0
238,75,40,0
239,75,27,0
240,75,26,0
241,75,5,0
242,76,65,0
243,76,2,0
244,76,32,0
245,77,40,0
246,77,8,0
247,78,68,0
248,78,26,0
249,78,50,0
250,78,16,0
251,79,68,0
252,79,25,0
253,79,69,0
254,80,65,0
255,80,46,0
256,80,8,0
257,81,39,0
258,81,14,0
259,81,52,0
260,82,65,0
261,82,58,0
262,82,5,0
263,82,6,0
264,82,70,0
265,83,65,0
266,83,71,0
267,83,5,0
268,83,70,0
269,84,65,0
270,84,59,0
271,84,5,0
272,84,6,0
273,84,70,0
274,85,40,0
275,85,55,0
276,86,65,0
277,86,14,0
278,86,16,0
279,87,66,0
280,87,59,0
281,87,7,0
282,88,65,0
283,88,13,0
284,88,16,0
285,89,1,0
286,89,38,0
287,89,39,0
288,89,40,0
289,89,10,0
290,89,5,0
291,89,41,0
292,90,65,0
293,90,71,0
294,90,72,0
295,90,16,0
296,90,73,0
297,91,65,0
298,91,28,0
299,91,7,0
300,91,74,0
301,92,65,0
302,92,28,0
303,92,7,0
304,92,75,0
305,92,76,0
306,93,65,0
307,93,28,0
308,93,7,0
309,93,77,0
310,94,65,0
311,94,28,0
312,94,7,0
313,94,78,0
314,95,65,0
315,95,28,0
316,95,7,0
317,95,79,0
318,95,21,0
319,96,65,0
320,96,28,0
321,96,7,0
322,96,21,0
323,97,65,0
324,97,28,0
325,97,7,0
326,97,76,0
327,98,65,0
328,98,10,0
329,98,28,0
330,98,7,0
331,99,65,0
332,99,10,0
333,99,16,0
334,99,7,0
335,100,65,0
336,100,8,0
337,101,39,0
338,101,16,0
339,101,6,0
340,102,39,0
341,102,16,0
342,102,46,0
343,102,6,0
344,102,80,0
345,103,39,0
346,103,21,0
347,103,81,0
348,103,6,0
349,103,7,0
350,104,82,0
351,104,83,0
352,104,84,0
353,105,39,0
354,105,46,0
355,105,6,0
356,105,32,0
357,106,39,0
358,106,10,0
359,106,5,0
360,107,39,0
361,107,2,0
362,107,5,0
363,107,32,0
364,108,39,0
365,108,21,0
366,108,41,0
367,109,59,0
368,109,39,0
369,109,72,0
370,109,16,0
371,109,14,0
372,110,85,0
373,110,65,0
374,110,58,0
375,110,7,0
376,111,39,0
377,111,58,0
378,111,3,0
379,112,39,0
380,112,83,0
381,112,2,0
382,112,5,0
383,112,3,0
384,113,39,0
385,113,86,0
386,113,87,0
387,113,14,0
388,114,39,0
389,114,27,0
390,114,88,0
391,114,16,0
392,114,28,0
393,114,70,0
394,115,89,0
395,115,27,0
396,115,2,0
397,115,14,0
398,115,5,0
399,115,32,0
400,116,39,0
401,116,27,0
402,116,81,0
403,116,6,0
404,116,16,0
405,116,7,0
406,117,39,0
407,117,83,0
408,117,6,0
409,117,90,0
410,117,91,0
411,118,39,0
412,118,36,0
413,118,37,0
414,119,83,0
415,119,39,0
416,119,10,0
417,119,5,0
418,120,39,0
419,120,10,0
420,120,5,0
421,120,6,0
422,120,92,0
423,120,70,0
424,121,39,0
425,121,58,0
426,121,14,0
427,121,5,0
428,122,89,0
429,122,93,0
430,122,94,0
431,122,91,0
432,123,39,0
433,123,10,0
434,123,5,0
435,124,39,0
436,124,10,0
437,124,14,0
438,124,2,0
439,124,5,0
440,124,95,0
441,125,1,0
442,125,38,0
443,125,39,0
444,125,40,0
445,125,10,0
446,125,5,0
447,125,41,0
448,126,96,0
449,126,97,0
450,126,45,0
451,126,98,0
452,126,73,0
453,127,84,0
454,127,99,0
455,127,3,0
456,127,18,0
457,128,100,0
458,128,101,0
459,128,55,0
460,128,85,0
461,128,102,0
462,129,12,0
463,129,103,0
464,129,7,0
465,129,59,0
466,130,55,0
467,130,102,0
468,131,104,0
469,131,34,0
470,132,31,0
471,132,34,0
472,133,71,0
473,133,102,0
474,134,105,0
475,134,58,0
476,134,46,0
477,135,106,0
478,135,21,0
479,135,81,0
480,135,6,0
481,135,7,0
482,136,55,0
483,136,102,0
484,136,107,0
485,137,23,0
486,137,2,0
487,138,55,0
488,138,108,0
489,139,72,0
490,139,41,0
491,139,29,0
492,140,72,0
493,140,41,0
494,141,72,0
495,141,58,0
496,141,8,0
497,142,72,0
498,142,14,0
499,143,72,0
500,143,21,0
501,143,81,0
502,143,6,0
503,143,7,0
504,144,109,0
505,144,2,0
506,145,109,0
507,145,21,0
508,145,81,0
509,145,6,0
510,145,7,0
511,146,12,0
512,147,12,0
513,147,34,0
514,148,12,0
515,148,110,0
516,148,7,0
517,149,12,0
518,149,111,0
519,150,12,0
520,150,1,0
521,151,59,0
522,151,7,0
523,151,29,0
524,152,59,0
525,152,21,0
526,152,81,0
527,152,6,0
528,152,7,0
529,153,112,0
530,153,2,0
531,154,31,0
532,154,7,0
533,154,29,0
534,155,23,0
535,155,7,0
536,155,29,0
537,156,63,0
538,156,7,0
539,157,30,0
540,157,2,0
541,158,31,0
542,158,2,0
543,159,31,0
544,159,46,0
545,160,31,0
546,160,7,0
547,161,31,0
548,161,113,0
549,162,31,0
550,162,102,0
551,163,31,0
552,163,21,0
553,163,81,0
554,163,6,0
555,163,7,0
556,164,114,0
557,164,2,0
558,165,71,0
559,165,7,0
560,166,115,0
561,166,102,0
562,167,116,0
563,167,10,0
564,167,5,0
565,168,117,0
566,168,118,0
567,169,72,0
568,169,30,0
569,169,14,0
570,169,102,0
571,170,30,0
572,170,5,0
573,170,6,0
574,170,7,0
575,171,30,0
576,171,34,0
577,172,83,0
578,172,36,0
579,172,37,0
580,173,18,0
581,173,2,0
582,174,18,0
583,175,18,0
584,175,8,0
585,176,72,0
586,176,51,0
587,176,14,0
588,177,119,0
589,177,7,0
590,178,39,0
591,178,10,0
592,178,5,0
593,179,85,0
594,179,58,0
595,180,85,0
596,180,55,0
597,180,51,0
598,180,37,0
599,180,102,0
600,181,48,0
601,181,31,0
602,181,46,0
603,181,24,0
604,181,32,0
605,182,83,0
606,182,26,0
607,182,2,0
608,183,27,0
609,183,55,0
610,183,102,0
611,184,38,0
612,184,10,0
613,184,16,0
614,185,55,0
615,185,120,0
616,186,55,0
617,186,2,0
618,187,55,0
619,187,41,0
620,188,72,0
621,188,55,0
622,188,14,0
623,188,102,0
624,189,55,0
625,189,7,0
626,190,104,0
627,190,55,0
628,190,102,0
629,191,55,0
630,191,102,0
631,192,55,0
632,192,7,0
633,192,21,0
634,193,103,0
635,193,31,0
636,194,4,0
637,194,1,0
638,194,11,0
639,195,4,0
640,195,5,0
641,195,8,0
642,196,121,0
643,196,122,0
644,196,123,0
645,196,124,0
646,197,125,0
647,197,36,0
648,197,37,0
649,198,59,0
650,198,39,0
651,198,72,0
652,198,16,0
653,198,14,0
654,199,85,0
655,199,65,0
656,199,58,0
657,199,7,0
658,200,117,0
659,200,26,0
660,200,54,0
661,200,5,0
662,201,23,0
663,201,1,0
664,201,2,0
665,202,109,0
666,202,112,0
667,202,72,0
668,202,2,0
669,202,102,0
670,203,71,0
671,203,34,0
672,204,38,0
673,204,59,0
674,204,104,0
675,204,14,0
676,205,83,0
677,205,55,0
678,206,4,0
679,206,83,0
680,206,26,0
681,206,5,0
682,206,32,0
683,207,4,0
684,207,5,0
685,207,20,0
686,208,27,0
687,208,31,0
688,208,7,0
689,209,27,0
